Word,SearchTerm,Valence,Arousal
active,,6.47,5.62
afraid,,2.25,5.12
alert,,5.38,5.14
alone,,3.85,4
amazed,,7.55,5.95
angry,,2.53,6.2
angry_at_self,angry,2.53,6.2
annoyed,,2.8,5.29
anxious,,3.8,6.2
aroused,,5.95,7.3
ashamed,,2.52,5.65
astonished,,6.42,5.73
at_ease,ease,6.15,2.45
at_rest,rest,6.05,2.58
attentive,,6.43,4.37
bashful,,5.55,4.36
blameworthy,,3.09,4.65
blue,gloomy,3.15,3.32
bold,,6.68,4.86
bored,,2.95,3.65
calm,,6.89,1.67
cheerful,,8,5.76
concentrating,,6.48,4.45
confident,,7.56,4.62
content,,6.7,3.17
daring,,6,6.14
delighted,,7.74,5
determined,,5.95,2.86
disappointed,,2.65,4.47
disgusted,,2.68,4.89
dissatisfied,,3.25,4.82
distressed,,3.38,6.28
downhearted,,3.18,3.38
droopy,,4,3.18
drowsy,,4.25,2.83
dull,,3.4,1.67
elated,,6.56,5.14
energetic,,7.57,6.1
enthusiastic,,7.55,5.9
euphoric,,7.8,5.25
excited,,8.11,6.43
fearful,,2.66,5.45
fearless,,5.81,4.05
frightened,,2.45,5.61
glad,,7.55,3.71
gloomy,,3.15,3.32
grouchy,,3.33,4.91
guilty,,3.09,4.65
happy,,8.47,6.05
hostile,,2.35,5.39
idle,,4.29,4.1
inactive,,4.24,3.05
inspired,,6.89,5.56
intense,,5.65,6.6
interested,,6.83,4.45
irritable,,2.85,6.37
jittery,,3.35,4.89
joyful,,8.21,5.53
lively,,7.12,6.1
loathing,,2.42,4.5
lonely,,2.67,4.37
miserable,,2.6,5.06
nervous,,3.56,5.51
passive,,4.84,3.55
peppy,,6.19,5.1
pleased,,7.82,4.25
proud,,7,5.55
quiet,,6.47,1.95
relaxed,,7.25,2.49
sad,,2.1,3.49
scared,,2.8,6.1
scornful,,2.5,4.71
serene,tranquil,7.11,2.61
shaky,,3.16,4.33
sheepish,,3.37,3.15
shy,,5.16,3.33
sleepy,,4.36,3.04
sluggish,,4.05,3.2
still,stillness,5.19,2.78
stimulated,,5.95,7.3
strong,,6.81,5.14
surprised,,6.57,5.95
timid,,3.37,3.15
tired,,4.29,3.67
tranquil,,7.11,2.61
unhappy,,1.84,5.1
upset,,2.45,4.49
warmhearted,,6.47,3.22
