var1,var2,gamma,threshold
ASItotal,numCommunities,default,none
ASItotal,numCommunities,default,T1
ASItotal,numCommunities,default,T2
ASItotal,globalClustering,N/A,none
ASItotal,globalClustering,N/A,T1
ASItotal,globalClustering,N/A,T2
ASItotal,networkDensity,N/A,T1
ASItotal,networkDensity,N/A,T2
ASItotal,posParticipation,default,none
ASItotal,posParticipation,default,T1
ASItotal,negParticipation,default,none
ASItotal,negParticipation,default,T1
ASItotal,posGatewayNode,default,none
ASItotal,posGatewayNode,default,T1
ASItotal,negGatewayNode,default,none
ASItotal,negGatewayNode,default,T1
ASItotal,posDiversity,default,none
ASItotal,posDiversity,default,T1
ASItotal,negDiversity,default,none
ASItotal,negDiversity,default,T1
ERStotal,numCommunities,default,none
ERStotal,numCommunities,default,T1
ERStotal,numCommunities,default,T2
ERStotal,globalClustering,N/A,none
ERStotal,globalClustering,N/A,T1
ERStotal,globalClustering,N/A,T2
ERStotal,networkDensity,N/A,T1
ERStotal,networkDensity,N/A,T2
ERStotal,posParticipation,default,none
ERStotal,posParticipation,default,T1
ERStotal,negParticipation,default,none
ERStotal,negParticipation,default,T1
ERStotal,posGatewayNode,default,none
ERStotal,posGatewayNode,default,T1
ERStotal,negGatewayNode,default,none
ERStotal,negGatewayNode,default,T1
ERStotal,posDiversity,default,none
ERStotal,posDiversity,default,T1
ERStotal,negDiversity,default,none
ERStotal,negDiversity,default,T1
GADtotal,numCommunities,default,none
GADtotal,numCommunities,default,T1
GADtotal,numCommunities,default,T2
GADtotal,globalClustering,N/A,none
GADtotal,globalClustering,N/A,T1
GADtotal,globalClustering,N/A,T2
GADtotal,networkDensity,N/A,T1
GADtotal,networkDensity,N/A,T2
GADtotal,posParticipation,default,none
GADtotal,posParticipation,default,T1
GADtotal,negParticipation,default,none
GADtotal,negParticipation,default,T1
GADtotal,posGatewayNode,default,none
GADtotal,posGatewayNode,default,T1
GADtotal,negGatewayNode,default,none
GADtotal,negGatewayNode,default,T1
GADtotal,posDiversity,default,none
GADtotal,posDiversity,default,T1
GADtotal,negDiversity,default,none
GADtotal,negDiversity,default,T1
PSStotal,numCommunities,default,none
PSStotal,numCommunities,default,T1
PSStotal,numCommunities,default,T2
PSStotal,globalClustering,N/A,none
PSStotal,globalClustering,N/A,T1
PSStotal,globalClustering,N/A,T2
PSStotal,networkDensity,N/A,T1
PSStotal,networkDensity,N/A,T2
PSStotal,posParticipation,default,none
PSStotal,posParticipation,default,T1
PSStotal,negParticipation,default,none
PSStotal,negParticipation,default,T1
PSStotal,posGatewayNode,default,none
PSStotal,posGatewayNode,default,T1
PSStotal,negGatewayNode,default,none
PSStotal,negGatewayNode,default,T1
PSStotal,posDiversity,default,none
PSStotal,posDiversity,default,T1
PSStotal,negDiversity,default,none
PSStotal,negDiversity,default,T1
PHQ15total,numCommunities,default,none
PHQ15total,numCommunities,default,T1
PHQ15total,numCommunities,default,T2
PHQ15total,globalClustering,N/A,none
PHQ15total,globalClustering,N/A,T1
PHQ15total,globalClustering,N/A,T2
PHQ15total,networkDensity,N/A,T1
PHQ15total,networkDensity,N/A,T2
PHQ15total,posParticipation,default,none
PHQ15total,posParticipation,default,T1
PHQ15total,negParticipation,default,none
PHQ15total,negParticipation,default,T1
PHQ15total,posGatewayNode,default,none
PHQ15total,posGatewayNode,default,T1
PHQ15total,negGatewayNode,default,none
PHQ15total,negGatewayNode,default,T1
PHQ15total,posDiversity,default,none
PHQ15total,posDiversity,default,T1
PHQ15total,negDiversity,default,none
PHQ15total,negDiversity,default,T1
PHQ8total,numCommunities,default,none
PHQ8total,numCommunities,default,T1
PHQ8total,numCommunities,default,T2
