CheckName,var1,var2,gamma,threshold
TAStoComm0,TAStotal,numCommunities,default,none
TAStoComm1,TAStotal,numCommunities,default,T1
TAStoComm2,TAStotal,numCommunities,default,T2
TAStoClust0,TAStotal,globalClustering,N/A,none
TAStoClust1,TAStotal,globalClustering,N/A,T1
TAStoClust2,TAStotal,globalClustering,N/A,T2
TAStoDensity0,TAStotal,networkDensity,N/A,none
TAStoDensity1,TAStotal,networkDensity,N/A,T1
TAStoDensity2,TAStotal,networkDensity,N/A,T2
TAStoPpos0,TAStotal,posParticipation,default,none
TAStoPpos1,TAStotal,posParticipation,default,T1
TAStoPpos2,TAStotal,posParticipation,default,T2
TAStoPneg0,TAStotal,negParticipation,default,none
TAStoPneg1,TAStotal,negParticipation,default,T1
TAStoPneg2,TAStotal,negParticipation,default,T2
TAStoGpos10,TAStotal,posGatewayNode,default,none
TAStoGpos11,TAStotal,posGatewayNode,default,T1
TAStoGpos12,TAStotal,posGatewayNode,default,T2
TAStoGneg10,TAStotal,negGatewayNode,default,none
TAStoGneg11,TAStotal,negGatewayNode,default,T1
TAStoGneg12,TAStotal,negGatewayNode,default,T2
TAStoGpos20,TAStotal,posGatewayBC,default,none
TAStoGpos21,TAStotal,posGatewayBC,default,T1
TAStoGpos22,TAStotal,posGatewayBC,default,T2
TAStoGneg20,TAStotal,negGatewayBC,default,none
TAStoGneg21,TAStotal,negGatewayBC,default,T1
TAStoGneg22,TAStotal,negGatewayBC,default,T2
TAStoHpos0,TAStotal,posDiversity,default,none
TAStoHpos1,TAStotal,posDiversity,default,T1
TAStoHpos2,TAStotal,posDiversity,default,T2
TAStoHneg0,TAStotal,negDiversity,default,none
TAStoHneg1,TAStotal,negDiversity,default,T1
TAStoHneg2,TAStotal,negDiversity,default,T2
TAStozICC,TAStotal,zICC,N/A,none
TAStoeDiv,TAStotal,emodiversity,N/A,none
TAStoTASddf,TAStotal,TASddf,N/A,none
TAStoTASdif,TAStotal,TASdif,N/A,none
TAStoTASeot,TAStotal,TASeot,N/A,none
TAStoRange,TAStotal,range,N/A,none
TAStoDiff,TAStotal,diff,N/A,none
TAStoRDEES,TAStotal,RDEES,N/A,none
