CheckName,var1,var2,gamma,threshold
RDEEStoComm0,RDEES,numCommunities,default,none
RDEEStoComm1,RDEES,numCommunities,default,T1
RDEEStoComm2,RDEES,numCommunities,default,T2
RDEEStoClust0,RDEES,globalClustering,N/A,none
RDEEStoClust1,RDEES,globalClustering,N/A,T1
RDEEStoClust2,RDEES,globalClustering,N/A,T2
RDEEStoDensity0,RDEES,networkDensity,N/A,none
RDEEStoDensity1,RDEES,networkDensity,N/A,T1
RDEEStoDensity2,RDEES,networkDensity,N/A,T2
RDEEStoPpos0,RDEES,posParticipation,default,none
RDEEStoPpos1,RDEES,posParticipation,default,T1
RDEEStoPpos2,RDEES,posParticipation,default,T2
RDEEStoPneg0,RDEES,negParticipation,default,none
RDEEStoPneg1,RDEES,negParticipation,default,T1
RDEEStoPneg2,RDEES,negParticipation,default,T2
RDEEStoGpos10,RDEES,posGatewayNode,default,none
RDEEStoGpos11,RDEES,posGatewayNode,default,T1
RDEEStoGpos12,RDEES,posGatewayNode,default,T2
RDEEStoGneg10,RDEES,negGatewayNode,default,none
RDEEStoGneg11,RDEES,negGatewayNode,default,T1
RDEEStoGneg12,RDEES,negGatewayNode,default,T2
RDEEStoGpos20,RDEES,posGatewayBC,default,none
RDEEStoGpos21,RDEES,posGatewayBC,default,T1
RDEEStoGpos22,RDEES,posGatewayBC,default,T2
RDEEStoGneg20,RDEES,negGatewayBC,default,none
RDEEStoGneg21,RDEES,negGatewayBC,default,T1
RDEEStoGneg22,RDEES,negGatewayBC,default,T2
RDEEStoHpos0,RDEES,posDiversity,default,none
RDEEStoHpos1,RDEES,posDiversity,default,T1
RDEEStoHpos2,RDEES,posDiversity,default,T2
RDEEStoHneg0,RDEES,negDiversity,default,none
RDEEStoHneg1,RDEES,negDiversity,default,T1
RDEEStoHneg2,RDEES,negDiversity,default,T2
RDEEStozICC,RDEES,zICC,N/A,none
RDEEStoeDiv,RDEES,emodiversity,N/A,none
RDEEStoTAStotal,RDEES,TAStotal,N/A,none
RDEEStoTASddf,RDEES,TASddf,N/A,none
RDEEStoTASdif,RDEES,TASdif,N/A,none
RDEEStoTASeot,RDEES,TASeot,N/A,none
RDEEStoRange,RDEES,range,N/A,none
RDEEStoDiff,RDEES,diff,N/A,none
