CheckName,var1,var2,gamma,threshold
eDivtoComm0,emodiversity,numCommunities,default,none
eDivtoComm1,emodiversity,numCommunities,default,T1
eDivtoComm2,emodiversity,numCommunities,default,T2
eDivtoClust0,emodiversity,globalClustering,N/A,none
eDivtoClust1,emodiversity,globalClustering,N/A,T1
eDivtoClust2,emodiversity,globalClustering,N/A,T2
eDivtoDensity0,emodiversity,networkDensity,N/A,none
eDivtoDensity1,emodiversity,networkDensity,N/A,T1
eDivtoDensity2,emodiversity,networkDensity,N/A,T2
eDivtoPpos0,emodiversity,posParticipation,default,none
eDivtoPpos1,emodiversity,posParticipation,default,T1
eDivtoPpos2,emodiversity,posParticipation,default,T2
eDivtoPneg0,emodiversity,negParticipation,default,none
eDivtoPneg1,emodiversity,negParticipation,default,T1
eDivtoPneg2,emodiversity,negParticipation,default,T2
eDivtoGpos10,emodiversity,posGatewayNode,default,none
eDivtoGpos11,emodiversity,posGatewayNode,default,T1
eDivtoGpos12,emodiversity,posGatewayNode,default,T2
eDivtoGneg10,emodiversity,negGatewayNode,default,none
eDivtoGneg11,emodiversity,negGatewayNode,default,T1
eDivtoGneg12,emodiversity,negGatewayNode,default,T2
eDivtoGpos20,emodiversity,posGatewayBC,default,none
eDivtoGpos21,emodiversity,posGatewayBC,default,T1
eDivtoGpos22,emodiversity,posGatewayBC,default,T2
eDivtoGneg20,emodiversity,negGatewayBC,default,none
eDivtoGneg21,emodiversity,negGatewayBC,default,T1
eDivtoGneg22,emodiversity,negGatewayBC,default,T2
eDivtoHpos0,emodiversity,posDiversity,default,none
eDivtoHpos1,emodiversity,posDiversity,default,T1
eDivtoHpos2,emodiversity,posDiversity,default,T2
eDivtoHneg0,emodiversity,negDiversity,default,none
eDivtoHneg1,emodiversity,negDiversity,default,T1
eDivtoHneg2,emodiversity,negDiversity,default,T2
eDivtozICC,emodiversity,zICC,N/A,none
eDivtoTAStotal,emodiversity,TAStotal,N/A,none
eDivtoTASddf,emodiversity,TASddf,N/A,none
eDivtoTASdif,emodiversity,TASdif,N/A,none
eDivtoTASeot,emodiversity,TASeot,N/A,none
eDivtoRange,emodiversity,range,N/A,none
eDivtoDiff,emodiversity,diff,N/A,none
eDivtoRDEES,emodiversity,RDEES,N/A,none
