CheckName,var1,var2,gamma,threshold
zICCtoComm0,zICC,numCommunities,default,none
zICCtoComm1,zICC,numCommunities,default,T1
zICCtoComm2,zICC,numCommunities,default,T2
zICCtoClust0,zICC,globalClustering,N/A,none
zICCtoClust1,zICC,globalClustering,N/A,T1
zICCtoClust2,zICC,globalClustering,N/A,T2
zICCtoDensity0,zICC,networkDensity,N/A,none
zICCtoDensity1,zICC,networkDensity,N/A,T1
zICCtoDensity2,zICC,networkDensity,N/A,T2
zICCtoPpos0,zICC,posParticipation,default,none
zICCtoPpos1,zICC,posParticipation,default,T1
zICCtoPpos2,zICC,posParticipation,default,T2
zICCtoPneg0,zICC,negParticipation,default,none
zICCtoPneg1,zICC,negParticipation,default,T1
zICCtoPneg2,zICC,negParticipation,default,T2
zICCtoGpos10,zICC,posGatewayNode,default,none
zICCtoGpos11,zICC,posGatewayNode,default,T1
zICCtoGpos12,zICC,posGatewayNode,default,T2
zICCtoGneg10,zICC,negGatewayNode,default,none
zICCtoGneg11,zICC,negGatewayNode,default,T1
zICCtoGneg12,zICC,negGatewayNode,default,T2
zICCtoGpos20,zICC,posGatewayBC,default,none
zICCtoGpos21,zICC,posGatewayBC,default,T1
zICCtoGpos22,zICC,posGatewayBC,default,T2
zICCtoGneg20,zICC,negGatewayBC,default,none
zICCtoGneg21,zICC,negGatewayBC,default,T1
zICCtoGneg22,zICC,negGatewayBC,default,T2
zICCtoHpos0,zICC,posDiversity,default,none
zICCtoHpos1,zICC,posDiversity,default,T1
zICCtoHpos2,zICC,posDiversity,default,T2
zICCtoHneg0,zICC,negDiversity,default,none
zICCtoHneg1,zICC,negDiversity,default,T1
zICCtoHneg2,zICC,negDiversity,default,T2
zICCtoeDiv,zICC,emodiversity,N/A,none
zICCtoTAStotal,zICC,TAStotal,N/A,none
zICCtoTASddf,zICC,TASddf,N/A,none
zICCtoTASdif,zICC,TASdif,N/A,none
zICCtoTASeot,zICC,TASeot,N/A,none
zICCtoRange,zICC,range,N/A,none
zICCtoDiff,zICC,diff,N/A,none
zICCtoRDEES,zICC,RDEES,N/A,none
zICCtoDensityW0,zICC,networkDensityW,N/A,none
zICCtoDensityW1,zICC,networkDensityW,N/A,T1
zICCtoDensityW2,zICC,networkDensityW,N/A,T2
zICCtoMod0,zICC,modularity,default,none
zICCtoMod1,zICC,modularity,default,T1
zICCtoMod2,zICC,modularity,default,T2
zICCtoModVA0,zICC,modularityVA,default,none
zICCtoModVA1,zICC,modularityVA,default,T1
zICCtoModVA2,zICC,modularityVA,default,T2
zICCtoCommRadius,zICC,commRadius,default,none
zICCtoCommRadius,zICC,commRadius,default,T1
zICCtoCommRadius,zICC,commRadius,default,T2
